abk	UN	Abkhaz	Office of the High Commissioner for Human Rights - Georgia Field Office
atj	other	Achehnese	Asnawi Ali
jiv	UN	Achuar Chicham	Office of the High Commissioner for Human Rights - Ecuador Field Office
acu	other	Achuar-Shiwiar	Coordinadora Nacional de Derechos Humanos, Peru
ajg	other	Adja	Commission béninoise des Droits de l'Homme, Benin
ady	other	Adyghe	Federation of Caucasian Assocations in Turkey (Kaffed)
gax	other	Afaan Oromo (Oromiffa)	Dema Translation and Editing Service
afk	UN	Afrikaans	United Nations Information Centre, Namibia
agr	other	Aguaruna	Coordinadora Nacional de Derechos Humanos, Peru
ccc	UN	A'ingae	Office of the High Commissioner for Human Rights - Ecuador Field Office
tws1	other	Akuapem Twi	National Association of Negro Business and Professional Women's Clubs, US
aln	UN	Albanian	United Nations Department of Public Information, NY
alt	UN	Altay	Office of the High Commissioner for Human Rights - Russian Federation
amc	other	Amahuaca	Coordinadora Nacional de Derechos Humanos, Peru
amr	other	Amarakaeri	Coordinadora Nacional de Derechos Humanos, Peru
ama	other	Amazigh	Réseau Amazigh pour la Citoyenneté
amh	other	Amharic	National Commission for UNESCO, Ethiopia
ame	other	Amuesha-Yanesha	Coordinadora Nacional de Derechos Humanos, Peru
njo	other	Ao	People’s Watch, India
arl	other	Arabela	Coordinadora Nacional de Derechos Humanos, Peru
arz	original	Arabic (Alarabia)	United Nations Department of Public Information, NY
arm	UN	Armenian	United Nations Department of Public Information, NY
ass	other	Asante	National Association of Negro Business and Professional Women's Clubs, US
cni	other	Asháninca	Coordinadora Nacional de Derechos Humanos, Peru
cpu	other	Ashéninca	Coordinadora Nacional de Derechos Humanos, Peru
asm	UN	Assamese	United Nations Department of Public Information, NY
aii	other	Assyrian (Atoraya)	Journal of Assyrian Academic Studies, USA (Philimon Darmo)
aub	other	Asturian (Bable)	Academia de la Llingua Asturiana, Spain
awa	other	Awadhi	People’s Watch, India
kwi	UN	Awapit	Office of the High Commissioner for Human Rights - Ecuador Field Office
aym	other	Aymara	Coordinadora Nacional de Derechos Humanos, Peru
azb1	UN	Azeri/Azerbaijani (Cyrillic)	United Nations Department of Public Information, NY
azb	UN	Azeri/Azerbaijani (Latin)	United Nations Department of Public Information, NY
aub	other	Bable (Asturian)	Academia de la Llingua Asturiana, Spain
inz	UN	Bahasa Indonesia	United Nations Information Centre, Indonesia
mli	other	Bahasa Melayu (Malay)	Diffusion Multilingue des Droits de l'Homme, France
1121	UN	Bai Coca	Office of the High Commissioner for Human Rights - Ecuador Field Office
bvi	UN	Balanda Viri	United Nations Mission In Sudan
bzc	UN	Balinese	United Nations Information Centre, Indonesia
bgp	UN	Balochi	United Nations Information Centre, Pakistan
bra	other	Bambara	Diffusion Multilingue des Droits de l'Homme, France, in cooperation with l'Agence de Coopération Culturelle et Technique
bci	other	Baoulé/Baule	Diffusion Multilingue des Droits de l'Homme, France
brd	other	Baram	Nepal Baram Association
bfa	UN	Bari	United Nations Mission In Sudan
bsq	UN	Basque (Euskara)	United Nations Information Centre, Spain
bba	other	Batonu (Bariba)	Commission béniniose des Droits de l'Homme
ruw	UN	Belorus (Belaruski)	Permanent Mission of the Republic of Belarus to the United Nations Office in Geneva
bem	UN	Bemba	United Nations Information Centre, Zambia
bng	UN	Bengali	United Nations Department of Public Information, NY
btb	UN	Béti	United Nations Information Centre, Cameroon
bhj	UN	Bhojpuri	United Nations Information Centre, India
bcy	other	Bichelamar	Amnesty International, UK
bkl	other	Bikol/Bicolano	Carpio Center for Human Rights, The Philippines
boa	other	Bora	Coordinadora Nacional de Derechos Humanos, Peru
src4	UN	Bosnian (Cyrillic script)	United Nations Mission In Bosnia and Herzegovina
src1	UN	Bosnian (Latin script)	United Nations Mission In Bosnia and Herzegovina
brt	other	Breton	Diffusion Multilingue des Droits de l'Homme, France
bpr	UN	Bugisnese	United Nations Information Centre, Indonesia
blg	UN	Bulgarian (Balgarski)	United Nations Information Centre, Bulgaria
bms	UN	Burmese/Myanmar	United Nations Information Centre, Myanmar
cak1	other	Cakchiquel	Instituto de Linguistica, Argentina
cpp	other	Campa pajonalino	Coordinadora Nacional de Derechos Humanos, Peru
cbu	other	Candoshi-Shapra	Coordinadora Nacional de Derechos Humanos, Peru
cot	other	Caquinte	Coordinadora Nacional de Derechos Humanos, Peru
